"id";"N";"M";"G0_GRT";"Gf_GRT";"G0_Gf_GRT";"Gf_GRT_ssG0";"Domaine";"Sujet";"URL";"rt0";"s0";"rtF";"sF"
43;58;100;95;70;65;5;"Liberation.fr";"Politic";"http://www.liberation.fr/politiques/01012392341-pour-gueant-le-fn-est-a-la-fois-nationaliste-et-socialiste";78,57;17,86;7,14;7,14
44;31;56;64,29;64,29;50;14,29;"Liberation.fr";"International";"http://www.liberation.fr/monde/01012392483-l-amorce-d-une-solution-pour-evacuer-les-journalistes-blesses-a-homs";64,71;17,65;41,18;8,82
45;235;1672;61,82;41,82;30,91;10,91;"Liberation.fr";"Politic";"http://www.liberation.fr/politiques/01012392240-henri-guaino-taisez-vous";100;0;88,24;11,76
46;116;249;62,75;62,75;50,98;11,77;"Liberation.fr";"Politic";"http://www.liberation.fr/politiques/01012392392-jean-marie-le-pen-traite-melenchon-de-voyou-lui-propose-un-debat";57,14;0;67,86;7,14
47;55;86;81,82;78,79;66,67;12,12;"Liberation.fr";"Politic";"http://www.liberation.fr/c/01012392023-c";59,38;34,38;12,5;15,63
48;93;313;58,82;68,63;45,1;23,53;"Liberation.fr";"Politic";"http://www.liberation.fr/politiques/01012392326-le-modele-de-sarkozy-melange-de-berlusconi-et-poutine-camp-hollande";72,22;16,67;72,22;0
49;42;133;100;88,24;88,24;0;"Liberation.fr";"Politic";"http://www.liberation.fr/politiques/01012392422-le-nouveau-centre-au-bord-de-l-explosion";42,86;9,52;14,29;4,76
50;40;54;100;82,35;82,35;0;"Liberation.fr";"Misc";"http://www.liberation.fr/monde/01012392502-un-attentat-contre-poutine-dejoue-en-russie";73,91;21,74;13,04;4,35
51;66;522;83,33;38,89;38,89;0;"Liberation.fr";"Politic";"http://www.liberation.fr/economie/01012392354-taxe-robin-des-bois-hollande-repond-aux-ong";72,22;5,56;72,22;0
52;97;390;65,31;65,31;46,94;18,37;"Liberation.fr";"Politic";"http://www.liberation.fr/politiques/01012392334-melenchon-meilleur-defenseur-des-ouvriers-devant-hollande-tns-sofres";76,92;7,69;38,46;7,69
53;50;86;68,97;86,21;65,52;20,69;"Liberation.fr";"Web/it";"http://www.liberation.fr/politiques/01012392323-sarkozy-candidat-du-peuple-une-grosse-blague-pour-besancenot?utm_source=twitterfeed&utm_medium=twitter";84,21;21,05;68,42;26,32
54;61;54;57,69;80,77;46,15;34,62;"Liberation.fr";"Cinema";"http://www.liberation.fr/c/01012392466-c";85,71;14,29;42,86;14,29
55;94;107;64;84;54;30;"Liberation.fr";"Cinema";"http://next.liberation.fr/cinema/01012392467-triomphe-pour-the-artist-meilleur-film-meilleur-cineaste-et-meilleur-acteur-aux-oscars";66,67;6,67;10;10
56;93;132;57,14;67,86;35,71;32,15;"Liberation.fr";"Web/it";"http://www.liberation.fr/monde/01012392537-un-navire-de-costa-a-la-derive-au-large-des-seychelles?utm_source=twitterfeed&utm_medium=twitter";88;0;0;4
57;33;38;63,16;68,42;47,37;21,05;"Liberation.fr";"Misc";"http://www.liberation.fr/culture/01012392340-le-trompettiste-maurice-andre-est-mort";80;0;83,33;3,33
58;75;264;80,95;76,19;61,9;14,29;"Liberation.fr";"Politic";"http://www.liberation.fr/politiques/01012392515-sarkozy-produit-imagine-par-des-cerveaux-d-extreme-droite";64;2;84;0
59;25;107;90,91;18,18;18,18;0;"Gamekult.com";"Misc";"http://www.gamekult.com/actu/sticks-arcade-le-comparatif-2012-A99845.html";90,91;0;18,18;9,09
60;30;36;100;0;0;0;"Leparisien.fr";"Misc";"http://www.leparisien.fr/societe/un-seisme-secoue-le-sud-de-la-france-27-02-2012-1878837.php";52,73;21,82;63,64;21,82
61;28;49;100;42,86;42,86;0;"Leparisien.fr";"Misc";"http://www.leparisien.fr/societe/epidemie-de-grippe-selon-les-urgentistes-les-hopitaux-sont-satures-25-02-2012-1877924.php";95;0;70;5
62;75;135;78,57;7,14;7,14;0;"Leparisien.fr";"Politic";"http://www.leparisien.fr/election-presidentielle-2012/candidats/une-fausse-depeche-sur-un-site-pirate-annonce-la-mort-de-sarkozy-26-02-2012-1878740.php";77,78;33,33;33,33;11,11
63;42;58;33,33;0;0;0;"Leparisien.fr";"Sport";"http://www.leparisien.fr/psg-foot-paris-saint-germain/lyon-psg-chantome-pas-sur-la-feuille-25-02-2012-1877927.php";82,5;5;82,5;0
64;38;53;87,5;25;25;0;"Leparisien.fr";"Politic";"http://www.leparisien.fr/election-presidentielle-2012/xavier-bertrand-francois-hollande-a-une-peur-panique-de-deplaire-26-02-2012-1878505.php";85,71;14,29;19,05;14,29
65;37;39;70,59;0;0;0;"Leparisien.fr";"Politic";"http://rss.leparisien.fr/item-1275401-2013438776.html";57,14;35,71;0;35,71
66;57;88;45,65;0;0;0;"Leparisien.fr";"Misc";"http://rss.leparisien.fr/item-1875001-2913930308.html";92,86;0;0;7,14
67;68;154;86,67;33,33;33,33;0;"Leparisien.fr";"Politic";"http://www.leparisien.fr/election-presidentielle-2012/video-le-coup-de-colere-de-guaino-face-a-un-elu-socialiste-25-02-2012-1877876.php";73,33;6,67;73,33;6,67
68;99;185;60,71;14,29;14,29;0;"Leparisien.fr";"Misc";"http://www.leparisien.fr/faits-divers/un-nivre-de-costa-crociere-a-la-derive-au-large-des-seychelles-27-02-2012-1880255.php";78,95;5,26;63,16;0
69;141;445;59,21;15,79;11,84;3,95;"Google.com";"Misc";"http://www.google.com/url?sa=X&q=http://www.leparisien.fr/paris-75/paris-un-pere-tente-de-bruler-vive-sa-fille-de-23-ans-27-02-2012-1880046.php&ct=ga&cad=CAcQARgAIAAoATAAOABA6cut-gRIAlAAWABiBWZyLUZS&cd=-C6lW7iZpyU&usg=AFQjCNFjOnmMs_JM5k2L8FJcYsd9dcn1lQ";72,73;4,55;77,27;2,27
70;22;20;100;0;0;0;"Leparisien.fr";"Misc";"http://www.leparisien.fr/bordeaux-33000/la-terre-a-tremble-en-charente-maritime-26-02-2012-1878681.php";45,65;8,7;0;6,52
71;27;42;75;0;0;0;"Leparisien.fr";"Politic";"http://rss.leparisien.fr/item-1675801-2613239177.html";81,82;0;78,79;6,06
