"numéro";"taille de G0 (noeuds)";"taille de G0 (liens)";"G0 & GRT (recouvrement GRT (liens))";"Gf & GRT (recouvrement GRT (liens))";"G0 & Gf & GRT (recouvrement GRT (liens))";"Gf & GRT & ~G0 (recouvrement GRT (liens))";Domaine de l'URL;Sujet;URL;"RT expliqués par G0";"RT expliqués par un voisinage dans G0";"RT expliqués par Gf";"RT expliqués par un voisinage dans Gf"
046;116;249;62,75;62,75;50,98;11,77;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392392-jean-marie-le-pen-traite-melenchon-de-voyou-lui-propose-un-debat;62,75;9,8;11,76;3,92
047;55;86;81,82;78,79;66,67;12,12;Liberation.fr;Politic;http://www.liberation.fr/c/01012392023-c;81,82;0,0;12,12;0,0
048;93;313;58,82;68,63;45,1;23,53;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392326-le-modele-de-sarkozy-melange-de-berlusconi-et-poutine-camp-hollande;58,82;11,76;19,61;1,96
049;42;133;100,0;88,24;88,24;0,0;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392422-le-nouveau-centre-au-bord-de-l-explosion;100,0;0,0;0,0;0,0
050;40;54;100,0;82,35;82,35;0,0;Liberation.fr;Misc;http://www.liberation.fr/monde/01012392502-un-attentat-contre-poutine-dejoue-en-russie;100,0;0,0;0,0;0,0
051;66;522;83,33;38,89;38,89;0,0;Liberation.fr;Politic;http://www.liberation.fr/economie/01012392354-taxe-robin-des-bois-hollande-repond-aux-ong;83,33;5,56;0,0;5,56
052;97;390;65,31;65,31;46,94;18,37;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392334-melenchon-meilleur-defenseur-des-ouvriers-devant-hollande-tns-sofres;65,31;14,29;14,29;2,04
053;50;86;68,97;86,21;65,52;20,69;Liberation.fr;Web/it;http://www.liberation.fr/politiques/01012392323-sarkozy-candidat-du-peuple-une-grosse-blague-pour-besancenot?utm_source=twitterfeed&utm_medium=twitter;68,97;0,0;20,69;0,0
054;61;54;57,69;80,77;46,15;34,62;Liberation.fr;Cinema;http://www.liberation.fr/c/01012392466-c;57,69;3,85;34,62;0,0
055;94;107;64,0;84,0;54,0;30,0;Liberation.fr;Cinema;http://next.liberation.fr/cinema/01012392467-triomphe-pour-the-artist-meilleur-film-meilleur-cineaste-et-meilleur-acteur-aux-oscars;64,0;2,0;30,0;0,0
056;93;132;57,14;67,86;35,71;32,15;Liberation.fr;Web/it;http://www.liberation.fr/monde/01012392537-un-navire-de-costa-a-la-derive-au-large-des-seychelles?utm_source=twitterfeed&utm_medium=twitter;57,14;0,0;32,14;0,0
057;33;38;63,16;68,42;47,37;21,05;Liberation.fr;Misc;http://www.liberation.fr/culture/01012392340-le-trompettiste-maurice-andre-est-mort;63,16;5,26;21,05;0,0
058;75;264;80,95;76,19;61,9;14,29;Liberation.fr;Politic;http://www.liberation.fr/politiques/01012392515-sarkozy-produit-imagine-par-des-cerveaux-d-extreme-droite;80,95;2,38;14,29;0,0
059;25;107;90,91;18,18;18,18;0,0;Gamekult.com;Misc;http://www.gamekult.com/actu/sticks-arcade-le-comparatif-2012-A99845.html;90,91;0,0;0,0;0,0
060;30;36;100,0;0,0;0,0;0,0;Leparisien.fr;Misc;http://www.leparisien.fr/societe/un-seisme-secoue-le-sud-de-la-france-27-02-2012-1878837.php;100,0;0,0;0,0;0,0
061;28;49;100,0;42,86;42,86;0,0;Leparisien.fr;Misc;http://www.leparisien.fr/societe/epidemie-de-grippe-selon-les-urgentistes-les-hopitaux-sont-satures-25-02-2012-1877924.php;100,0;0,0;0,0;0,0
062;75;135;78,57;7,14;7,14;0,0;Leparisien.fr;Politic;http://www.leparisien.fr/election-presidentielle-2012/candidats/une-fausse-depeche-sur-un-site-pirate-annonce-la-mort-de-sarkozy-26-02-2012-1878740.php;78,57;10,71;0,0;0,0
063;42;58;33,33;0,0;0,0;0,0;Leparisien.fr;Sport;http://www.leparisien.fr/psg-foot-paris-saint-germain/lyon-psg-chantome-pas-sur-la-feuille-25-02-2012-1877927.php;33,33;47,62;0,0;0,0
064;38;53;87,5;25,0;25,0;0,0;Leparisien.fr;Politic;http://www.leparisien.fr/election-presidentielle-2012/xavier-bertrand-francois-hollande-a-une-peur-panique-de-deplaire-26-02-2012-1878505.php;87,5;12,5;0,0;0,0
065;37;39;70,59;0,0;0,0;0,0;Leparisien.fr;Politic;http://rss.leparisien.fr/item-1275401-2013438776.html;70,59;0,0;0,0;0,0
066;57;88;45,65;0,0;0,0;0,0;Leparisien.fr;Misc;http://rss.leparisien.fr/item-1875001-2913930308.html;45,65;8,7;0,0;0,0
067;68;154;86,67;33,33;33,33;0,0;Leparisien.fr;Politic;http://www.leparisien.fr/election-presidentielle-2012/video-le-coup-de-colere-de-guaino-face-a-un-elu-socialiste-25-02-2012-1877876.php;86,67;13,33;0,0;0,0
068;99;185;60,71;14,29;14,29;0,0;Leparisien.fr;Misc;http://www.leparisien.fr/faits-divers/un-nivre-de-costa-crociere-a-la-derive-au-large-des-seychelles-27-02-2012-1880255.php;60,71;17,86;0,0;0,0
069;141;445;59,21;15,79;11,84;3,95;Google.com;Misc;http://www.google.com/url?sa=X&q=http://www.leparisien.fr/paris-75/paris-un-pere-tente-de-bruler-vive-sa-fille-de-23-ans-27-02-2012-1880046.php&ct=ga&cad=CAcQARgAIAAoATAAOABA6cut-gRIAlAAWABiBWZyLUZS&cd=-C6lW7iZpyU&usg=AFQjCNFjOnmMs_JM5k2L8FJcYsd9dcn1lQ;59,21;30,26;0,0;0,0
070;22;20;100,0;0,0;0,0;0,0;Leparisien.fr;Misc;http://www.leparisien.fr/bordeaux-33000/la-terre-a-tremble-en-charente-maritime-26-02-2012-1878681.php;100,0;0,0;0,0;0,0
071;27;42;75,0;0,0;0,0;0,0;Leparisien.fr;Politic;http://rss.leparisien.fr/item-1675801-2613239177.html;75,0;0,0;0,0;0,0
072;47;55;64,52;0,0;0,0;0,0;Leparisien.fr;Cinema;http://www.leparisien.fr/flash-actualite-culture/jean-dujardin-je-vous-le-presente-il-s-appelle-oscar-il-pese-2-kilos-27-02-2012-1880117.php;64,52;6,45;0,0;0,0
073;101;182;75,0;75,0;56,25;18,75;Google.com;Web/it;http://feedproxy.google.com/~r/Pressecitron/~3/vCay3eqyOlw/google-nous-preparerait-des-lunettes-android?utm_source=dlvr.it&utm_medium=twitter;75,0;0,0;18,75;0,0
074;56;134;64,71;41,18;38,24;2,94;Rtl.fr;Politic;http://www.rtl.fr/actualites/politique/article/selon-nkm-un-ticket-de-metro-coute-4-7744236344;64,71;17,65;0,0;0,0
075;43;80;44,0;0,0;0,0;0,0;Feedsportal.com;Politic;http://rss.feedsportal.com/c/32898/f/533233/s/1cf37364/l/0L0Srtl0Bfr0Cactualites0Cpolitique0Carticle0Cjean0Emarie0Ele0Epen0Eveut0Eretirer0Eson0Ecalecon0Ea0Emelenchon0E7744299576/story01.htm;44,0;24,0;0,0;0,0
076;54;132;59,38;12,5;3,13;9,37;Rtl.fr;Politic;http://www.rtl.fr/actualites/politique/article/henri-guaino-perd-son-sang-froid-dans-un-debat-tele-7744252616;59,38;21,88;6,25;0,0
077;19;20;53,33;0,0;0,0;0,0;Feedsportal.com;Cinema;http://rss.feedsportal.com/c/32898/f/533233/s/1cf57061/l/0L0Srtl0Bfr0Cactualites0Cculture0Eloisirs0Ccinema0Carticle0Cthe0Eartist0Ejean0Edujardin0Esacre0Emeilleur0Eacteur0Eaux0Eoscars0E7744310A20A6/story01.htm;53,33;6,67;0,0;0,0
078;31;37;42,11;63,16;36,84;26,32;Ozap.com;Web/it;http://www.ozap.com/actu/zapping-la-joie-de-jean-dujardin-aux-oscars-2012/439572?utm_source=dlvr.it&utm_medium=twitter;42,11;15,79;26,32;5,26
